candidate_id,label,A_aromaticity,A_delta_wt_vs_mut,A_hybrid_complexity,A_hydrophobicity_kd,A_mutation_surprisal,A_net_charge,A_tcr_contact_potential,B_erap_nterm_proxy,B_proteasome_cterm,B_sanity_check,B_tap_transport_score,C_anchoring_P2,C_binding_quality,C_hla_anchor_p9,C_hla_delta_binding,C_total_binding,D1_exact_self_similarity,D_mutation_in_window,D_wt_presented,ic50_nm,rf_score,gb_score
DECOY_053,DECOY,0.3333333333333333,1.571216634879954,0.8738632064421114,1.4375000000000009,-0.0795519015694017,0.0,0.775,-1.0,1.0,1.0,0.48,-0.3,0.7694444444444444,2.0,1.3000000000000005,4.4,0.0,0.2,0.0,,0.96,0.9999838693744162
DECOY_011,DECOY,0.0,4.91848518631784,0.9391418807713332,-2.85,0.0633714210679881,-0.0123456790123456,0.35,0.0,1.0,1.0,0.6,2.0,0.5818350168350168,0.8,-0.1000000000000005,5.0,0.0,1.0,0.0,,0.875,0.9999838693744162
DECOY_013,DECOY,0.1111111111111111,0.7201140940911593,0.030945745700171,0.0,1.1655860657179755,0.0,0.3,-0.5,1.0,1.0,0.48,2.0,0.975084175084175,2.0,0.2999999999999998,10.4,0.0,0.5,0.0,,0.397,0.009614725262999203
DECOY_012,DECOY,0.0,2.7544708050538547,0.6134351636923178,3.224999999999999,-0.1086794494299488,0.0,0.1,-1.0,1.0,1.0,0.6,1.5,0.6703142536475871,1.5,4.6,5.800000000000001,0.0,1.0,0.0,,0.8320000000000001,0.9999838693744162
DECOY_066,DECOY,0.0,3.436097098444669,0.8733898758504762,-1.9125,-0.1304153393159386,0.0,0.4499999999999999,0.0,1.0,1.0,0.6,2.0,0.7111952861952863,1.5,0.5,7.4,0.0,1.0,0.0,,0.98,0.9999838693744162
REAL_041,REAL,0.2222222222222222,0.7201140940911593,0.5277859536253678,0.0,1.1655860657179755,0.0,0.2,-0.5,0.4,1.0,0.12,-0.2,0.5708305274971941,-0.3,0.2999999999999999,-1.0,0.0,0.5,0.0,33.0,0.37200000000000005,0.9999838693744162
DECOY_033,DECOY,0.1111111111111111,5.648795606114315,0.9391418807713332,5.5375,-0.20284332206438,-0.0123456790123456,0.625,-0.8,1.0,1.0,0.6,2.0,0.6439113355780023,1.5,2.2,6.700000000000001,0.0,0.2,0.0,,1.0,0.9999838693744162
REAL_016,REAL,0.1111111111111111,1.0169789065697288,0.9628112763956056,0.0,0.3168571053399405,-0.0123456790123456,0.4,0.7,1.0,1.0,0.6,2.0,0.6279180695847363,1.5,0.2999999999999998,6.300000000000001,0.0,0.5,0.0,8.0,0.99,0.9999838693744162
REAL_030,REAL,0.0,1.0169789065697288,0.8733898758504762,0.1500000000000001,0.3168571053399405,-0.0123456790123456,0.45,0.0,1.0,1.0,0.48,2.0,0.7886644219977553,2.0,0.2000000000000001,8.9,0.0,1.0,0.0,20.0,0.91,0.9999838693744162
REAL_033,REAL,0.1111111111111111,0.1769568617840448,0.9391418807713332,1.0,-1.4199032544506602,-0.0123456790123456,0.625,-0.8,1.0,1.0,0.6,2.0,0.6343434343434343,1.5,2.0,6.6,0.0,0.2,0.0,13.0,0.94,0.9999838693744162
DECOY_023,DECOY,0.2222222222222222,4.692305228810112,0.7506764971091333,8.4375,-0.093153813797099,-0.0123456790123456,0.7000000000000001,-0.5,1.0,1.0,0.48,2.0,0.7739057239057239,2.0,3.400000000000001,8.7,0.0,0.2,0.0,,0.96,0.9999838693744162
REAL_035,REAL,0.1111111111111111,0.7201140940911593,0.8489971749441401,0.0,1.1655860657179755,-0.0123456790123456,0.25,0.4,1.0,1.0,0.6,1.5,0.8028058361391694,1.5,0.2999999999999998,6.9,0.0,1.0,0.0,28.0,0.785,0.9999838693744162
REAL_059,REAL,0.1111111111111111,0.7201140940911593,0.7818379546485882,-1.35,1.1655860657179755,0.0,0.475,0.0,1.0,1.0,0.48,-0.2,0.8571268237934905,2.0,0.2999999999999998,5.5,0.0,1.0,0.0,11.0,0.87,0.009614725262999203
DECOY_044,DECOY,0.0,1.58360232245513,0.6089917479398617,-3.0375,-0.1304153393159386,0.0,0.175,-0.8,1.0,1.0,0.48,2.0,0.800645342312009,2.0,0.6999999999999993,8.899999999999999,0.0,1.0,0.0,,0.7020000000000001,0.9999838693744162
REAL_043,REAL,0.2222222222222222,0.1639185361330838,0.9282484953206456,-0.3,-0.3977595078470086,0.0,0.35,-1.0,1.0,1.0,0.48,2.0,0.671324354657688,2.0,0.3999999999999999,7.7,0.0,1.0,0.0,3.0,0.757,0.9999838693744162
DECOY_068,DECOY,0.2222222222222222,2.8789030012571994,0.9615518580955764,1.5375,0.2913965164294939,-0.0123456790123456,0.475,0.0,1.0,1.0,0.6,2.0,0.7450617283950618,1.5,0.4999999999999995,7.6,0.0,1.0,0.0,,0.985,0.9999838693744162
REAL_055,REAL,0.1111111111111111,0.7201140940911593,0.9828470639023664,-1.35,1.1655860657179755,0.0,0.5,0.7,1.0,1.0,0.48,2.0,0.6529461279461279,2.0,0.2999999999999998,7.5,0.0,1.0,0.0,16.0,0.97,0.9999838693744162
REAL_045,REAL,0.1111111111111111,0.7201140940911593,0.7191611565537666,0.0,1.1655860657179755,0.0,0.525,-0.8,1.0,1.0,0.6,2.0,0.7612794612794613,1.5,0.2999999999999994,7.700000000000001,0.0,1.0,0.0,8.0,0.95,0.9999838693744162
REAL_068,REAL,0.2222222222222222,0.7201140940911593,0.9615518580955764,0.0,1.1655860657179755,-0.0123456790123456,0.3,0.0,1.0,1.0,0.6,2.0,0.7425364758698092,1.5,0.2999999999999998,7.5,0.0,1.0,0.0,8.0,0.885,0.9999838693744162
DECOY_002,DECOY,0.3333333333333333,3.911149238855297,0.6925975938332868,-1.4625,0.1942643442863293,0.0,0.775,-0.5,1.0,1.0,0.48,0.8,0.8041245791245791,2.0,0.1999999999999997,6.800000000000001,0.0,1.0,0.0,,0.94,0.9999838693744162
DECOY_030,DECOY,0.0,1.9976214043040703,0.8733898758504762,-2.7375000000000003,0.1056190351133135,-0.0123456790123456,0.375,0.0,1.0,1.0,0.48,2.0,0.7744668911335578,2.0,0.1000000000000005,8.8,0.0,1.0,0.0,,0.83,0.9999838693744162
